700,1100,1247,761
810,1100,1203,760
920,1100,1158,760
1030,1100,1113,759
1140,1100,1070,759
1250,1100,1026,759
1360,1100,982,757
1470,1100,938,757
1580,1100,894,756
1690,1100,850,755
700,1240,1247,720
810,1240,1202,721
920,1240,1157,720
1030,1240,1113,720
1140,1240,1069,719
1250,1240,1026,719
1360,1240,981,718
1470,1240,938,717
1580,1240,893,717
1690,1240,850,716
700,1380,1246,679
810,1380,1201,679
920,1380,1156,680
1030,1380,1112,679
1140,1380,1069,679
1250,1380,1026,679
1360,1380,982,678
1470,1380,939,678
1580,1380,894,677
1690,1380,851,676
700,1520,1246,638
810,1520,1200,639
920,1520,1156,639
1030,1520,1111,639
1140,1520,1068,639
1250,1520,1025,638
1360,1520,981,638
1470,1520,938,638
1580,1520,894,637
1690,1520,850,637
700,1660,1245,596
810,1660,1199,597
920,1660,1155,597
1030,1660,1111,597
1140,1660,1068,598
1250,1660,1025,598
1360,1660,981,598
1470,1660,938,597
1580,1660,894,597
1690,1660,850,596
700,1800,1244,553
810,1800,1199,554
920,1800,1154,554
1030,1800,1110,555
1140,1800,1067,555
1250,1800,1024,555
1360,1800,980,555
1470,1800,937,555
1580,1800,893,555
1690,1800,850,555
700,1940,1244,510
810,1940,1199,511
920,1940,1155,513
1030,1940,1110,513
1140,1940,1066,514
1250,1940,1024,514
1360,1940,980,514
1470,1940,937,514
1580,1940,891,513
1690,1940,848,513
700,2080,1243,465
810,2080,1198,467
920,2080,1154,468
1030,2080,1109,468
1140,2080,1066,469
1250,2080,1023,469
1360,2080,979,470
1470,2080,936,470
1580,2080,891,470
1690,2080,847,470
700,2220,1244,420
810,2220,1198,422
920,2220,1153,424
1030,2220,1108,424
1140,2220,1065,425
1250,2220,1021,426
1360,2220,977,426
1470,2220,934,426
1580,2220,889,426
1690,2220,845,426
700,2360,1243,372
810,2360,1197,375
920,2360,1152,376
1030,2360,1107,377
1140,2360,1064,378
1250,2360,1021,379
1360,2360,976,380
1470,2360,932,380
1580,2360,887,380
1690,2360,843,381
